character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Liz","2012",0,1,1
"Robby Delmuda","2023",0,1,1
"Dino and Shame","2018",0,1,1
"Ho Ho the Elf","2015",3,0,3
"Len Wiseman","2016",0,3,3
"Dagmar the Small","2021",1,0,1
"Coco Marx","2020",0,1,1
"Seth Wompler","2013",1,0,1
"O. J. Simpson","2022",0,3,3
"Scaroline","2016",0,1,1
"Mike the Janitor","2014",1,0,1
"Michael Jackson's Ghost","2015",0,1,1
"Dr. Traygo","2016",0,1,1
"Mary Lisa","2018",0,1,1
"Chico Davis","2013",0,1,1
"Don DiMello","2011",1,1,2
"Joey Tortellini","2015",1,0,1
"Charles Barkley","2022",0,1,1
"Santa Claus","2019",1,0,1
"The Mailer Daemon","2015",1,0,1
"Chip Gardner","2014",1,0,1
"Marissa Wompler","2014",2,2,4
"Bever Hopox","2019",0,1,1
"Messmore LeBaron","2017",0,1,1
"Ho Ho the Elf","2016",1,2,3
"Margery Kershaw","2021",1,0,1
"Scaroline","2015",0,1,1
"Michael Jackson's Ghost","2014",0,1,1
"R. Schrift","2014",1,0,1
"Eric ""Gutterballs"" Gutterman","2014",1,0,1
"Fourvel","2019",0,1,1
"Pastor Pasta","2021",1,0,1
"Italiano Jones","2021",1,0,1
"The Time Keeper","2020",1,0,1
"Sunny","2017",1,0,1
"Billy Crystal","2011",0,1,1
"Pamela from Big Bear","2019",0,1,1
"Bob Ducca","2013",0,2,2
"Chico Hands","2021",1,0,1
"Bill Cosby-Bukowski","2012",0,1,1
"Bueford LeBaron","2015",0,1,1
"Gino Lombardo","2015",1,5,6
"Mike the Janitor","2015",1,0,1
"El Chupacabra","2015",0,1,1
"Bueford LeBaron","2016",0,1,1
"Fourvel","2017",1,0,1
"Ho Ho the Elf","2014",0,1,1
"Bean Dip","2020",0,3,3
"Rudi North","2023",0,1,1
"Morpheus, The Dream Lord","2021",1,0,1
"Miss Listler","2013",1,1,2
"August Lindt","2019",0,1,1
"Gino Lombardo","2018",1,4,5
"Alan Thicke","2017",1,0,1
"Paul Giamatti","2010",0,1,1
"Marissa Wompler","2015",0,2,2
"Marissa Wompler","2016",0,1,1
"Jesse Ventura","2017",0,1,1
"Marissa Wompler","2018",0,1,1
"Jesse Ventura","2019",0,1,1
"Gino Lombardo","2014",0,4,4
"Cake Boss","2020",1,0,1
"Caine Sherman","2012",0,1,1
"Caroline BelindaCarlisle","2017",1,1,2
"Angelica Trashmouth","2016",0,1,1
"Gary Urbansky","2016",1,1,2
"Big Chunky Bubbles","2017",2,0,2
"Traci Rearden","2013",1,1,2
"Bjork","2012",0,3,3
